iter	Passed	Remaining
0	261	261569
1	324	162128
2	399	132903
3	486	121103
4	553	110243
5	616	102181
6	682	96861
7	745	92384
8	870	95816
9	947	93840
10	1018	91547
11	1084	89329
12	1436	109043
13	1582	111459
14	1670	109682
15	1747	107484
16	1833	106004
17	1913	104414
18	1999	103216
19	2083	102075
20	2164	100920
21	2251	100091
22	2344	99586
23	2420	98442
24	2509	97872
25	2592	97134
26	2671	96290
27	2757	95736
28	2841	95138
29	2960	95733
30	3087	96508
31	3241	98066
32	3360	98477
33	3480	98899
34	3574	98561
35	3670	98291
36	3751	97631
37	3837	97143
38	3935	96964
39	4016	96401
40	4146	96980
41	4230	96486
42	4312	95981
43	4397	95539
44	4500	95501
45	4647	96381
46	4751	96339
47	4852	96236
48	4980	96655
49	5116	97214
50	5316	98924
51	5432	99035
52	5606	100183
53	5754	100803
54	5892	101247
55	6011	101342
56	6153	101797
57	6275	101922
58	6366	101543
59	6480	101526
60	6578	101262
61	6643	100504
62	6702	99683
63	6816	99688
64	6899	99239
65	6960	98504
66	7023	97807
67	7085	97114
68	7190	97019
69	7255	96396
70	7318	95764
71	7385	95185
72	7451	94618
73	7547	94447
74	7662	94506
75	7814	95005
76	7896	94656
77	7985	94389
78	8098	94418
79	8203	94337
80	8292	94078
81	8378	93795
82	8486	93762
83	8553	93277
84	8614	92729
85	8687	92334
86	8753	91861
87	8817	91384
88	8884	90938
89	8950	90499
90	9010	90009
91	9071	89533
92	9132	89067
93	9200	88676
94	9258	88200
95	9320	87771
96	9378	87303
97	9448	86963
98	9523	86671
99	9597	86377
100	9673	86107
101	9747	85820
102	9833	85639
103	9889	85204
104	10008	85309
105	10203	86057
106	10403	86823
107	10516	86858
108	10601	86663
109	10697	86555
110	10808	86563
111	11040	87534
112	11189	87829
113	11302	87839
114	11407	87787
115	11520	87794
116	11627	87750
117	11734	87710
118	11867	87857
119	12001	88012
120	12101	87914
121	12227	88001
122	12352	88076
123	12486	88209
124	12591	88137
125	12737	88354
126	12900	88681
127	13072	89058
128	13217	89245
129	13370	89476
130	13500	89555
131	13605	89468
132	13720	89440
133	13886	89743
134	14219	91111
135	14367	91277
136	14512	91418
137	14608	91250
138	14814	91766
139	14909	91588
140	15021	91511
141	15151	91549
142	15266	91489
143	15354	91273
144	15461	91171
145	15546	90937
146	15643	90776
147	15767	90767
148	15872	90654
149	16012	90736
150	16085	90443
151	16169	90207
152	16353	90533
153	16456	90401
154	16548	90213
155	16630	89976
156	16716	89757
157	16787	89460
158	16882	89298
159	16987	89185
160	17052	88865
161	17254	89253
162	17388	89287
163	17507	89247
164	17570	88918
165	17637	88610
166	17724	88408
167	17796	88135
168	17856	87802
169	17922	87503
170	18016	87345
171	18075	87016
172	18146	86747
173	18237	86574
174	18307	86305
175	18377	86041
176	18476	85912
177	18548	85657
178	18622	85413
179	18704	85210
180	18891	85483
181	18987	85338
182	19051	85056
183	19112	84758
184	19172	84463
185	19254	84263
186	19328	84033
187	19390	83751
188	19470	83547
189	19531	83266
190	19596	83004
191	19662	82744
192	19749	82580
193	19815	82324
194	19880	82068
195	19945	81818
196	20035	81669
197	20100	81415
198	20159	81143
199	20241	80967
200	20297	80686
201	20358	80427
202	20416	80157
203	20476	79899
204	20560	79734
205	20620	79479
206	20677	79215
207	20776	79110
208	20848	78905
209	20921	78705
210	20984	78467
211	21069	78315
212	21134	78087
213	21194	77844
214	21259	77621
215	21344	77474
216	21408	77248
217	21466	77002
218	21525	76765
219	21591	76552
220	21648	76309
221	21719	76116
222	21832	76070
223	21897	75857
224	21959	75638
225	22013	75393
226	22091	75226
227	22145	74984
228	22205	74762
229	22261	74527
230	22340	74372
231	22399	74149
232	22464	73948
233	22524	73735
234	22602	73578
235	22657	73350
236	22714	73127
237	22774	72915
238	22854	72770
239	22914	72561
240	22979	72369
241	23041	72171
242	23127	72047
243	23186	71841
244	23245	71633
245	23308	71441
246	23377	71267
247	23439	71075
248	23502	70884
249	23561	70683
250	23654	70586
251	23716	70395
252	23775	70200
253	23858	70071
254	23919	69883
255	23978	69687
256	24040	69502
257	24128	69392
258	24188	69203
259	24248	69014
260	24317	68852
261	24375	68661
262	24438	68482
263	24494	68287
264	24555	68106
265	24616	67927
266	24678	67749
267	24735	67562
268	24795	67380
269	24855	67200
270	24917	67028
271	24974	66842
272	25036	66672
273	25095	66494
274	25154	66317
275	25213	66139
276	25274	65968
277	25332	65792
278	25387	65607
279	25441	65421
280	25500	65248
281	25555	65067
282	25614	64894
283	25668	64714
284	25728	64546
285	25786	64375
286	25842	64201
287	25899	64029
288	25958	63862
289	26018	63700
290	26076	63533
291	26133	63365
292	26189	63193
293	26245	63025
294	26300	62854
295	26360	62695
296	26416	62528
297	26474	62366
298	26531	62202
299	26591	62045
300	26663	61918
301	26718	61754
302	26774	61590
303	26839	61448
304	26903	61304
305	26965	61157
306	27021	60996
307	27083	60850
308	27140	60693
309	27208	60561
310	27285	60449
311	27354	60320
312	27419	60182
313	27482	60041
314	27537	59883
315	27599	59741
316	27657	59590
317	27716	59441
318	27773	59291
319	27834	59147
320	27899	59014
321	27957	58866
322	28021	58733
323	28081	58588
324	28136	58436
325	28198	58300
326	28255	58153
327	28318	58017
328	28376	57875
329	28441	57745
330	28504	57611
331	28566	57477
332	28624	57334
333	28683	57194
334	28740	57051
335	28800	56914
336	28859	56776
337	28923	56648
338	28984	56516
339	29040	56372
340	29102	56241
341	29157	56098
342	29217	55964
343	29276	55829
344	29334	55693
345	29400	55572
346	29537	55584
347	29616	55488
348	29682	55367
349	29738	55227
350	29791	55084
351	29849	54950
352	29906	54814
353	29967	54686
354	30025	54552
355	30083	54421
356	30139	54285
357	30194	54147
358	30250	54012
359	30305	53876
360	30369	53756
361	30429	53629
362	30487	53499
363	30618	53498
364	30729	53461
365	30783	53324
366	30840	53193
367	30898	53065
368	30956	52936
369	31015	52810
370	31073	52682
371	31131	52554
372	31187	52424
373	31246	52300
374	31305	52176
375	31365	52053
376	31418	51920
377	31474	51791
378	31534	51670
379	31604	51564
380	31673	51459
381	31738	51346
382	31809	51243
383	31867	51120
384	31930	51005
385	31988	50882
386	32047	50762
387	32104	50639
388	32171	50531
389	32237	50422
390	32338	50368
391	32462	50350
392	32518	50225
393	32578	50107
394	32641	49995
395	32699	49874
396	32759	49757
397	32813	49633
398	32870	49512
399	32929	49394
400	32985	49273
401	33042	49152
402	33115	49057
403	33268	49079
404	33327	48963
405	33384	48843
406	33439	48720
407	33493	48599
408	33551	48481
409	33606	48360
410	33662	48241
411	33720	48125
412	33774	48004
413	33828	47882
414	33882	47761
415	33936	47641
416	33991	47523
417	34046	47404
418	34102	47287
419	34174	47193
420	34296	47167
421	34348	47046
422	34406	46932
423	34461	46816
424	34517	46699
425	34569	46579
426	34626	46466
427	34682	46351
428	34740	46240
429	34798	46128
430	34853	46013
431	34907	45896
432	34963	45783
433	35019	45670
434	35077	45560
435	35137	45453
436	35193	45340
437	35247	45226
438	35300	45110
439	35358	45001
440	35412	44888
441	35470	44779
442	35526	44668
443	35587	44565
444	35647	44458
445	35707	44354
446	35763	44244
447	35818	44134
448	35876	44026
449	35937	43923
450	35996	43818
